Unnamed: 0,Date & Time,Headlines,Author,Vertical,Description
0,"Last Updated: Nov 01, 2016, 12:00 AM IST",UPDATE 1-Soccer-Russian championship results and standings,,Sports,SOCCER-RUSSIA/RESULTS (UPDATE 1):UPDATE 1-Soccer-Russian championship results and standings
1,"Last Updated: Nov 01, 2016, 12:28 AM IST",India may give second high-speed rail contract to Japan,ET Bureau,Transportation,"This could be Japan’s second such project in India, just like the first high-speed rail link, which is based on the Shinkansen bullet train train technology."
2,"Last Updated: Nov 01, 2016, 12:33 AM IST",Private sector has big role in energy security: Dharmendra Pradhan,ET Bureau,Energy,Pradhan said field-level activity suggested companies are preparing to pump gas from such fields.
3,"Last Updated: Nov 01, 2016, 12:27 AM IST",Arvind Kejriwal accuses Centre of snooping on judges; Ravi Shankar Prasad denies allegations,ET Bureau,Politics,"Any legal phone tapping has to be authorised by the Home Ministry before the Telecom Ministry carries out the orders. The government denied these reports,"
4,"Last Updated: Nov 01, 2016, 12:25 AM IST",Soccer-Aurier out for PSG but Pastore available again,,Sports,SOCCER-CHAMPIONS-PSG-BAS/EMERY:Soccer-Aurier out for PSG but Pastore available again
5,"Last Updated: Nov 01, 2016, 12:25 AM IST",Soccer-Croatian championship results and standings,,Sports,SOCCER-CROATIA/RESULTS:Soccer-Croatian championship results and standings
6,"Last Updated: Nov 01, 2016, 12:32 AM IST",The paved road to eternal fame?,ET Bureau,Panache,"Even so, the 16th-century Afghan ruler Sher Shah Suri is personally credited with the laying of what still exists as the Grand Trunk Road."
7,"Last Updated: Nov 01, 2016, 12:43 AM IST",Coal India leads state-run companies in preventive vigilance,ET Bureau,Ind'l Goods/Svs,The banks have been asked to share their reports of fraud monitoring and reporting mechanism with the CVC in cases above Rs 1 crore.
8,"Last Updated: Nov 01, 2016, 12:30 AM IST",Aurier out for PSG but Pastore available again,,Sports,SOCCER-CHAMPIONS-PSG-BAS-EMERY:Aurier out for PSG but Pastore available again
9,"Last Updated: Nov 01, 2016, 01:08 AM IST",Demand for VoLTE devices doubles on Reliance Jio’s 4G launch,ET Bureau,Hardware,"The demand for VoLTE from smaller towns — where people are the most price sensitive — is reflected in the surge in the number of searches for under-Rs 5,000 priced devices."
10,"Last Updated: Nov 01, 2016, 12:35 AM IST",Soccer-Turkish championship results and standings,,Sports,SOCCER-TURKEY/RESULTS:Soccer-Turkish championship results and standings
11,"Last Updated: Nov 01, 2016, 12:41 AM IST",Congress pays homage to former PM Indira Gandhi,ET Bureau,Politics,"The march took place in the backdrop of the Centre organising various functions to mark the birth anniversary of Sardar Patel, again on October 31."
12,"Last Updated: Nov 01, 2016, 12:46 AM IST","NBCC to redevelop VSNL land assets for Rs 15,000 crore",ET Bureau,Real Estate,"""NBCC will redevelop the land and take a certain fee, the remaining amount will flow into government and other shareholders,” an official said."
13,"Last Updated: Nov 01, 2016, 12:40 AM IST",Investigating fraudulent transactions of Rs 22 crore: AirAsia,ET Bureau,Transportation,"A forensic investigation had revealed fraudulent transactions of Rs 22 crore related to AirAsia and involving non-existent entities in India and Singapore, according to Mistry's letter."
14,"Last Updated: Nov 01, 2016, 12:45 AM IST","Motor racing-Vettel rage due to Ferrari frustration, say rivals",,Sports,"MOTOR-F1-VETTEL/LANGUAGE:Motor racing-Vettel rage due to Ferrari frustration, say rivals"
15,"Last Updated: Nov 01, 2016, 12:45 AM IST","Vettel rage due to Ferrari frustration, say rivals",,Sports,"MOTOR-F1-VETTEL-LANGUAGE:Vettel rage due to Ferrari frustration, say rivals"
16,"Last Updated: Nov 01, 2016, 12:51 AM IST",SC collegium unwilling to hand over veto power on judges' appointments to Centre,ET Bureau,Politics,"“There’s no agreement on these two clauses,” the source said. This makes a revised memorandum of procedure a distinct impossibility in the future."
17,"Last Updated: Nov 01, 2016, 12:53 AM IST",Gujarat only state to notify the Real Estate Act,ET Bureau,Real Estate,The HUPA secretary has written at least three letters to chief secretaries of state governments to push the notification of rules.
